edgeId,edgeType,maneuver,fromIndex,fromName,fromRoad,fromLane,fromX,fromY,fromZ,toIndex,toName,toRoad,toLane,toX,toY,toZ,controlX,controlY,controlZ,angleDegrees,fromLaneIsLeftmostTurnLane,source,bridgePart
27,base,base,26,Road_165-Lane_3-Waypoint_8,165,3,-1717.515,0.200,-962.204,13486,Road_165-Lane_3-Waypoint_10,165,3,-1721.703,0.200,-962.204,,,,0.00,0,gley,
28,base,base,27,Road_197-Lane_0-Waypoint_147,197,0,-2072.055,8.690,-1348.369,9771,Road_197-Lane_0-Waypoint_145,197,0,-2055.955,8.690,-1348.385,,,,0.00,1,gley,
29,base,base,28,Road_156-Lane_0-Waypoint_6,156,0,-1444.579,0.200,-972.187,7894,Road_156-Lane_0-Waypoint_4,156,0,-1439.356,0.200,-972.187,,,,0.00,1,gley,
30,base,base,29,Road_209-Lane_1-Waypoint_152,209,1,-2549.408,-0.008,-1382.477,13560,Road_209-Lane_1-Waypoint_154,209,1,-2543.142,-0.008,-1382.883,,,,0.00,1,gley,
31,base,base,30,Road_96-Lane_2-Waypoint_6,96,2,-159.362,0.000,-363.789,3938,Road_96-Lane_2-Waypoint_8,96,2,-163.897,0.000,-363.764,,,,0.00,1,gley,
32,base,base,31,Road_118-Lane_3-Waypoint_10,118,3,-430.874,0.010,-204.583,9851,Road_118-Lane_3-Waypoint_12,118,3,-434.886,0.010,-204.598,,,,0.00,0,gley,
33,base,base,32,Road_2-Lane_2-Waypoint_4,2,2,335.750,0.000,-204.491,8064,Road_2-Lane_2-Waypoint_2,2,2,329.540,0.000,-204.495,,,,0.00,0,gley,
34,base,base,33,Road_18-Lane_0-Connector5,18,0,133.688,0.000,-371.002,4467,Road_18-Lane_0-Connector6,18,0,134.278,0.000,-374.397,,,,0.00,1,gley,
35,base,base,34,Road_251-Lane_0-Waypoint_115,251,0,-2918.119,0.050,-1672.184,4191,Road_251-Lane_0-Waypoint_113,251,0,-2918.073,0.050,-1665.708,,,,0.00,1,gley,
36,base,base,35,Road_136-Lane_1-Waypoint_16,136,1,-1555.962,0.200,-1327.328,4177,Road_136-Lane_1-Waypoint_18,136,1,-1561.174,0.200,-1327.324,,,,0.00,0,gley,
38,base,base,37,Road_46-Lane_0-CConnect3,46,0,146.541,0.000,306.334,8939,Road_48-Lane_0-In,48,0,148.255,0.000,306.332,,,,0.00,1,gley,
39,base,base,38,Road_248-Lane_1-Waypoint_10,248,1,-3044.525,0.050,-1545.554,11955,Road_248-Lane_1-Waypoint_12,248,1,-3044.112,0.050,-1538.409,,,,0.00,1,gley,
40,base,base,39,Road_164-Lane_2-Connector3,164,2,-1591.986,0.200,-977.701,17602,Road_164-Lane_2-Connector4,164,2,-1588.961,0.200,-977.720,,,,0.00,0,gley,
41,base,base,40,Road_174-Lane_0-Connector7,174,0,-1599.275,0.200,-1241.912,9551,Road_174-Lane_0-Connector8,174,0,-1596.865,0.200,-1239.432,,,,0.00,1,gley,
42,base,base,41,Road_41-Lane_1-Connector5,41,1,399.893,0.000,313.617,2761,Road_41-Lane_1-Connector6,41,1,399.892,0.000,316.631,,,,0.00,1,gley,
43,base,base,42,Road_237-Lane_2-Waypoint_59,237,2,-2009.756,0.300,-921.131,11009,Road_237-Lane_2-Waypoint_57,237,2,-2005.590,0.300,-924.791,,,,0.00,0,gley,
44,base,base,43,Road_240-Lane_1-Waypoint_117,240,1,-3140.903,0.050,-1555.090,13170,Road_240-Lane_1-Waypoint_119,240,1,-3135.953,0.050,-1556.277,,,,0.00,1,gley,
45,base,base,44,Road_66-Lane_0-Waypoint_6,66,0,-298.482,0.000,425.527,552,Road_66-Lane_0-Waypoint_4,66,0,-298.482,0.000,431.832,,,,0.00,1,gley,
46,base,base,45,Road_216-Lane_1-Waypoint_32,216,1,-2554.624,8.815,-1287.771,1419,Road_216-Lane_1-Waypoint_34,216,1,-2550.597,8.815,-1288.574,,,,0.00,0,gley,
47,base,base,46,Road_124-Lane_1-Waypoint_6,124,1,-248.875,0.010,-123.078,4493,Road_124-Lane_1-Waypoint_8,124,1,-252.443,0.010,-126.056,,,,0.00,1,gley,
48,base,base,47,Road_99-Lane_1-Waypoint_14,99,1,-165.351,0.000,-212.556,3293,Road_99-Lane_1-Waypoint_16,99,1,-160.919,0.000,-212.560,,,,0.00,1,gley,
49,base,base,48,Road_158-Lane_0-Connector3,158,0,-1587.636,0.200,-974.179,6817,Road_158-Lane_0-Connector4,158,0,-1583.198,0.200,-972.769,,,,0.00,1,gley,
50,base,base,49,Road_119-Lane_1-Waypoint_12,119,1,-520.276,0.010,-208.524,9010,Road_119-Lane_1-Waypoint_14,119,1,-524.343,0.010,-208.517,,,,0.00,1,gley,
51,base,base,50,Road_125-Lane_1-Waypoint_6,125,1,-353.253,0.010,-185.618,12247,Road_125-Lane_1-Waypoint_4,125,1,-356.870,0.010,-188.582,,,,0.00,1,gley,
52,base,base,51,Road_137-Lane_1-Waypoint_14,137,1,-1651.664,0.200,-1327.248,2557,Road_137-Lane_1-Waypoint_16,137,1,-1657.233,0.200,-1327.248,,,,0.00,0,gley,
53,base,base,52,Road_123-Lane_1-Waypoint_30,123,1,-264.656,0.010,-21.362,7113,Road_123-Lane_1-Waypoint_32,123,1,-270.414,0.010,-21.378,,,,0.00,1,gley,
54,base,base,53,Road_242-Lane_0-Waypoint_25,242,0,-3271.335,0.050,-1352.080,16504,Road_242-Lane_0-Waypoint_23,242,0,-3276.678,0.050,-1351.187,,,,0.00,1,gley,
55,base,base,54,Road_3-Lane_1-Waypoint_22,3,1,239.592,0.000,-208.443,10761,Road_3-Lane_1-Out,3,1,234.893,0.000,-208.446,,,,0.00,1,gley,
56,base,base,55,Road_109-Lane_3-Connector3,109,3,-298.134,0.010,-346.815,4943,Road_109-Lane_3-CConnect3,109,3,-298.391,0.010,-340.417,,,,0.00,0,gley,
57,base,base,56,Road_1700-Lane_0-Waypoint_22,1700,0,-1683.277,0.200,-1249.554,14174,Road_1700-Lane_0-Waypoint_24,1700,0,-1683.277,0.200,-1245.451,,,,0.00,1,gley,bridge_deck
58,base,base,57,Road_44-Lane_0-Waypoint_38,44,0,225.209,0.000,349.081,11718,Road_44-Lane_0-Waypoint_36,44,0,225.213,0.000,355.489,,,,0.00,1,gley,
59,base,base,58,Road_149-Lane_0-Connector5,149,0,-1683.660,2.000,-1507.270,6154,Road_149-Lane_0-Connector6,149,0,-1687.253,2.000,-1507.264,,,,0.00,1,gley,
60,base,base,59,Road_111-Lane_0-CConnect6,111,0,-308.971,0.010,-382.198,15825,Road_111-Lane_0-Connector2,111,0,-305.006,0.010,-382.173,,,,0.00,0,gley,
61,base,base,60,Road_237-Lane_0-Waypoint_137,237,0,-2154.639,0.300,-898.386,1177,Road_237-Lane_0-Waypoint_135,237,0,-2148.748,0.300,-898.427,,,,0.00,1,gley,
62,base,base,61,Road_1-Lane_0-CConnect7,1,0,312.684,0.000,-9.931,4702,Road_0-Lane_0-In,0,0,312.681,0.000,-5.827,,,,0.00,1,gley,
63,base,base,62,Road_242-Lane_1-Waypoint_100,242,1,-3075.213,0.050,-1355.824,13281,Road_242-Lane_1-Out,242,1,-3071.867,0.050,-1355.769,,,,0.00,1,gley,
64,base,base,63,Road_9-Lane_1-Waypoint_24,9,1,395.927,0.000,-290.124,6707,Road_9-Lane_1-Waypoint_26,9,1,395.924,0.000,-294.271,,,,0.00,1,gley,
65,base,base,64,Road_116-Lane_2-Waypoint_18,116,2,-504.983,0.010,-374.035,13053,Road_116-Lane_2-Waypoint_20,116,2,-499.284,0.010,-374.012,,,,0.00,1,gley,
66,base,base,65,Road_46-Lane_0-Connector6,46,0,137.950,0.000,316.103,6724,Road_46-Lane_0-Connector7,46,0,137.953,0.000,319.259,,,,0.00,1,gley,
67,base,base,66,Road_143-Lane_2-Waypoint_20,143,2,-1795.508,0.300,-1353.989,16546,Road_143-Lane_2-Waypoint_22,143,2,-1788.887,0.300,-1353.949,,,,0.00,1,gley,
68,base,base,67,Road_145-Lane_0-Connector12,145,0,-1857.739,0.200,-1334.893,4010,Road_145-Lane_0-Connector13,145,0,-1857.714,0.200,-1331.116,,,,0.00,1,gley,
69,base,base,68,Road_200-Lane_0-Waypoint_20,200,0,-3039.410,-0.008,-1238.378,6669,Road_200-Lane_0-Waypoint_18,200,0,-3039.053,-0.008,-1233.809,,,,0.00,1,gley,
70,base,base,69,Road_197-Lane_1-Waypoint_115,197,1,-1876.204,8.690,-1343.925,8775,Road_197-Lane_1-Waypoint_117,197,1,-1885.175,8.690,-1343.921,,,,0.00,1,gley,
71,base,base,70,Road_256-Lane_1-Waypoint_24,256,1,-2733.018,0.050,-1496.094,17910,Road_256-Lane_1-Waypoint_27,256,1,-2730.380,0.050,-1493.013,,,,0.00,1,gley,
72,base,base,71,Road_20-Lane_1-Waypoint_22,20,1,138.051,0.000,57.056,11115,Road_20-Lane_1-Waypoint_24,20,1,138.053,0.000,61.208,,,,0.00,1,gley,
73,base,base,72,Road_16-Lane_0-Connector6,16,0,223.404,0.000,-372.314,9104,Road_16-Lane_0-Connector7,16,0,225.670,0.000,-373.622,,,,0.00,1,gley,
74,base,base,73,Road_210-Lane_1-Waypoint_24,210,1,-2390.920,-0.008,-1489.266,6008,Road_210-Lane_1-Waypoint_26,210,1,-2391.313,-0.008,-1493.524,,,,0.00,1,gley,
75,base,base,74,Road_0-Lane_1-Connector6,0,1,308.695,0.000,-28.425,2720,Road_0-Lane_1-Connector7,0,1,308.698,0.000,-32.149,,,,0.00,1,gley,
76,base,base,75,Road_126-Lane_1-CConnect8,126,1,-298.330,0.010,-222.718,2221,Road_126-Lane_1-Connector2,126,1,-298.325,0.010,-218.408,,,,0.00,1,gley,
78,base,base,77,Road_6-Lane_0-In,6,0,296.718,0.000,-21.311,6559,Road_6-Lane_0-Waypoint_22,6,0,292.138,0.000,-21.312,,,,0.00,1,gley,
79,base,base,78,Road_237-Lane_2-Waypoint_216,237,2,-2424.490,0.000,-912.638,9068,Road_237-Lane_2-Waypoint_214,237,2,-2418.850,0.000,-910.674,,,,0.00,0,gley,
80,base,base,79,Road_22-Lane_0-Connector3,22,0,217.036,0.000,-16.890,14614,Road_22-Lane_0-CConnect3,22,0,210.732,0.000,-17.398,,,,0.00,1,gley,
81,base,base,80,Road_204-Lane_1-Waypoint_28,204,1,-3088.516,-0.008,-1184.319,5834,Road_204-Lane_1-Waypoint_30,204,1,-3083.910,-0.008,-1184.295,,,,0.00,1,gley,
82,base,base,81,Road_15-Lane_3-Waypoint_12,15,3,177.942,0.000,-352.092,10323,Road_15-Lane_3-Waypoint_14,15,3,173.842,0.000,-352.090,,,,0.00,0,gley,
83,base,base,82,Road_43-Lane_1-Waypoint_20,43,1,308.756,0.000,392.661,6306,Road_43-Lane_1-Waypoint_22,43,1,308.754,0.000,388.657,,,,0.00,1,gley,
84,base,base,83,Road_132-Lane_0-CConnect3,132,0,-554.699,0.010,-25.471,1996,Road_120-Lane_0-In,120,0,-551.056,0.010,-25.079,,,,0.00,1,gley,
85,base,base,84,Road_251-Lane_1-Waypoint_95,251,1,-2948.298,0.050,-1637.465,10210,Road_251-Lane_1-Waypoint_97,251,1,-2944.377,0.050,-1640.484,,,,0.00,1,gley,
86,base,base,85,Road_31-Lane_2-Waypoint_4,31,2,108.665,0.000,-29.231,1114,Road_31-Lane_2-Waypoint_2,31,2,114.873,0.000,-29.233,,,,0.00,0,gley,
87,base,base,86,Road_6-Lane_2-Waypoint_8,6,2,258.340,0.000,-17.320,14444,Road_6-Lane_2-Waypoint_6,6,2,253.700,0.000,-17.321,,,,0.00,0,gley,
88,base,base,87,Road_10-Lane_2-In,10,2,384.110,0.000,-363.460,14843,Road_10-Lane_2-Waypoint_2,10,2,376.777,0.000,-363.463,,,,0.00,1,gley,
89,base,base,88,Road_18-Lane_1-Connector3,18,1,138.168,0.000,-214.807,13387,Road_18-Lane_1-Connector4,18,1,138.169,0.000,-211.672,,,,0.00,1,gley,
90,base,base,89,Road_14-Lane_0-Waypoint_6,14,0,190.761,0.000,-381.821,16046,Road_14-Lane_0-Waypoint_4,14,0,196.011,0.000,-381.828,,,,0.00,0,gley,
91,base,base,90,Road_27-Lane_0-Connector2,27,0,219.600,0.000,161.848,11859,Road_27-Lane_0-Connector3,27,0,223.538,0.000,161.851,,,,0.00,1,gley,
92,base,base,91,Road_12-Lane_3-Connector4,12,3,221.218,0.000,-352.089,6846,Road_12-Lane_3-Connector5,12,3,217.878,0.000,-352.094,,,,0.00,0,gley,
93,base,base,92,Road_25-Lane_3-CConnect6,25,3,316.911,0.000,169.930,2450,Road_25-Lane_3-Connector2,25,3,313.060,0.000,169.921,,,,0.00,0,gley,
94,base,base,93,Road_97-Lane_1-CConnect4,97,1,-211.129,0.000,-221.896,4174,Road_97-Lane_1-Connector2,97,1,-210.736,0.000,-217.231,,,,0.00,1,gley,
95,base,base,94,Road_237-Lane_1-Waypoint_216,237,1,-2428.041,0.000,-903.289,3365,Road_237-Lane_1-Waypoint_218,237,1,-2433.886,0.000,-905.570,,,,0.00,1,gley,
96,base,base,95,Road_162-Lane_1-Waypoint_52,162,1,-1862.898,0.200,-1121.811,4053,Road_162-Lane_1-Waypoint_54,162,1,-1862.898,0.200,-1129.357,,,,0.00,1,gley,
97,base,base,96,Road_214-Lane_3-Waypoint_72,214,3,-2582.225,-0.008,-1273.621,15298,Road_214-Lane_3-Waypoint_74,214,3,-2580.180,-0.008,-1277.566,,,,0.00,0,gley,
98,base,base,97,Road_120-Lane_3-Waypoint_8,120,3,-512.121,0.010,-17.251,7736,Road_120-Lane_3-Waypoint_10,120,3,-516.345,0.010,-17.232,,,,0.00,0,gley,
99,base,base,98,Road_167-Lane_1-CConnect6,167,1,-1758.036,0.200,-1152.393,15896,Road_1707-Lane_1-In,1707,1,-1754.985,0.200,-1152.393,,,,0.00,1,gley,bridge_junction_north
100,base,base,99,Road_209-Lane_1-Waypoint_156,209,1,-2536.881,-0.008,-1383.305,11183,Road_209-Lane_1-Waypoint_158,209,1,-2530.625,-0.008,-1383.746,,,,0.00,1,gley,
101,base,base,100,Road_197-Lane_3-Waypoint_48,197,3,-1667.063,8.834,-1339.189,7267,Road_197-Lane_3-Waypoint_51,197,3,-1677.080,9.687,-1339.202,,,,0.00,0,gley,
102,base,base,101,Road_232-Lane_0-Waypoint_8,232,0,-2956.266,-0.209,-1043.799,13531,Road_232-Lane_0-Waypoint_6,232,0,-2955.154,-0.209,-1047.857,,,,0.00,1,gley,
103,base,base,102,Road_23-Lane_0-CConnect6,23,0,317.547,0.000,466.377,5889,Road_23-Lane_0-Connector2,23,0,313.636,0.000,466.425,,,,0.00,1,gley,
104,base,base,103,Road_112-Lane_0-Waypoint_8,112,0,-337.489,0.010,-359.752,2006,Road_112-Lane_0-Waypoint_10,112,0,-341.661,0.010,-359.752,,,,0.00,0,gley,
106,base,base,105,Road_29-Lane_0-Waypoint_8,29,0,10.759,0.000,462.608,2104,Road_29-Lane_0-Waypoint_6,29,0,15.347,0.000,462.608,,,,0.00,1,gley,
107,base,base,106,Road_65-Lane_0-Waypoint_4,65,0,-274.775,0.000,309.576,16515,Road_65-Lane_0-Waypoint_6,65,0,-269.515,0.000,309.569,,,,0.00,1,gley,
108,base,base,107,Road_157-Lane_0-Waypoint_18,157,0,-1559.773,0.200,-972.559,15299,Road_157-Lane_0-Waypoint_16,157,0,-1554.779,0.200,-972.577,,,,0.00,1,gley,
109,base,base,108,Road_202-Lane_0-CConnect8,202,0,-2946.767,-0.209,-1064.593,17462,Road_232-Lane_1-In,232,1,-2947.166,-0.209,-1062.955,,,,0.00,1,gley,
110,base,base,109,Road_218-Lane_3-Waypoint_30,218,3,-2187.537,8.500,-1338.588,2843,Road_218-Lane_3-Waypoint_32,218,3,-2192.222,8.500,-1338.564,,,,0.00,0,gley,
111,base,base,110,Road_83-Lane_0-CConnect5,83,0,137.807,0.000,267.416,9001,Road_46-Lane_0-In,46,0,137.798,0.000,268.674,,,,0.00,1,gley,
112,base,base,111,Road_250-Lane_1-In,250,1,-2991.699,0.050,-1403.298,16429,Road_250-Lane_1-Waypoint_2,250,1,-2992.214,0.050,-1396.701,,,,0.00,1,gley,
113,base,base,112,Road_205-Lane_0-Waypoint_2,205,0,-2592.563,0.000,-1066.909,444,Road_205-Lane_0-Waypoint_4,205,0,-2589.046,0.000,-1069.714,,,,0.00,0,gley,
114,base,base,113,Road_234-Lane_1-Waypoint_18,234,1,-2625.003,-0.008,-917.555,6460,Road_234-Lane_1-Out,234,1,-2627.729,-0.008,-915.585,,,,0.00,1,gley,
115,base,base,114,Road_71-Lane_0-Waypoint_8,71,0,-36.452,0.000,272.565,14605,Road_71-Lane_0-Waypoint_6,71,0,-36.457,0.000,277.726,,,,0.00,1,gley,
116,base,base,115,Road_51-Lane_1-CConnect3,51,1,396.031,0.000,296.785,13723,Road_41-Lane_0-In,41,0,396.101,0.000,293.336,,,,0.00,0,gley,
117,base,base,116,Road_53-Lane_2-Connector2,53,2,138.867,0.000,470.639,12897,Road_53-Lane_2-Connector3,53,2,135.690,0.000,470.639,,,,0.00,0,gley,
118,base,base,117,Road_54-Lane_2-Waypoint_6,54,2,254.072,0.000,470.588,7966,Road_54-Lane_2-Waypoint_4,54,2,248.790,0.000,470.582,,,,0.00,0,gley,
120,base,base,119,Road_97-Lane_1-Connector3,97,1,-211.132,0.000,-215.344,3503,Road_97-Lane_1-Connector4,97,1,-211.129,0.000,-212.173,,,,0.00,1,gley,
121,base,base,120,Road_229-Lane_0-Waypoint_16,229,0,-3005.835,-0.209,-1028.295,5784,Road_229-Lane_0-Waypoint_14,229,0,-3009.699,-0.209,-1029.353,,,,0.00,1,gley,
122,base,base,121,Road_154-Lane_0-CConnect16,154,0,-1412.584,0.200,-1319.358,17844,Road_154-Lane_0-Connector2,154,0,-1412.644,0.200,-1324.369,,,,0.00,1,gley,
123,base,base,122,Road_198-Lane_0-Waypoint_67,198,0,-2941.129,-0.008,-1185.492,8918,Road_198-Lane_0-Waypoint_65,198,0,-2938.335,-0.008,-1192.564,,,,0.00,1,gley,
124,base,base,123,Road_131-Lane_0-Waypoint_30,131,0,-476.844,0.010,-113.994,3245,Road_131-Lane_0-Waypoint_28,131,0,-476.839,0.010,-117.997,,,,0.00,1,gley,
126,base,base,125,Road_114-Lane_1-Waypoint_20,114,1,-452.498,0.010,-378.068,3223,Road_114-Lane_1-Waypoint_18,114,1,-446.564,0.010,-378.078,,,,0.00,0,gley,
127,base,base,126,Road_19-Lane_1-In,19,1,138.175,0.000,-192.982,4910,Road_19-Lane_1-Waypoint_2,19,1,138.172,0.000,-185.256,,,,0.00,1,gley,
128,base,base,127,Road_132-Lane_1-Waypoint_50,132,1,-563.990,0.010,-168.134,135,Road_132-Lane_1-Waypoint_52,132,1,-563.981,0.010,-174.643,,,,0.00,1,gley,
130,base,base,129,Road_39-Lane_1-Connector2,39,1,307.447,0.000,169.828,742,Road_39-Lane_1-Connector3,39,1,305.492,0.000,167.118,,,,0.00,1,gley,
131,base,base,130,Road_237-Lane_1-Waypoint_39,237,1,-1964.424,0.300,-953.960,8922,Road_237-Lane_1-Waypoint_41,237,1,-1967.765,0.300,-950.567,,,,0.00,1,gley,
132,base,base,131,Road_218-Lane_2-Waypoint_78,218,2,-2310.393,8.500,-1351.840,17570,Road_218-Lane_2-Waypoint_76,218,2,-2303.813,8.500,-1352.194,,,,0.00,0,gley,
133,base,base,132,Road_79-Lane_1-Waypoint_8,79,1,98.911,0.000,259.324,15567,Road_79-Lane_1-Waypoint_10,79,1,94.684,0.000,259.318,,,,0.00,1,gley,
134,base,base,133,Road_215-Lane_1-Waypoint_30,215,1,-3201.935,0.050,-1218.104,1607,Road_215-Lane_1-Waypoint_32,215,1,-3209.161,0.050,-1217.888,,,,0.00,1,gley,
135,base,base,134,Road_4-Lane_1-Connector7,4,1,313.111,0.000,-373.793,1327,Road_4-Lane_1-Connector8,4,1,315.644,0.000,-375.999,,,,0.00,1,gley,
136,base,base,135,Road_132-Lane_1-Waypoint_52,132,1,-563.981,0.010,-174.643,14130,Road_132-Lane_1-Waypoint_54,132,1,-563.972,0.010,-181.616,,,,0.00,1,gley,
137,base,base,136,Road_72-Lane_1-Waypoint_18,72,1,-40.520,0.000,198.721,10752,Road_72-Lane_1-Waypoint_20,72,1,-40.509,0.000,193.077,,,,0.00,1,gley,
138,base,base,137,Road_54-Lane_2-Waypoint_22,54,2,292.830,0.000,470.634,10404,Road_54-Lane_2-Waypoint_20,54,2,286.053,0.000,470.626,,,,0.00,0,gley,
139,base,base,138,Road_151-Lane_1-Waypoint_6,151,1,-1466.620,2.000,-1512.670,15074,Road_151-Lane_1-Waypoint_8,151,1,-1462.033,2.000,-1512.683,,,,0.00,1,gley,
140,base,base,139,Road_1706-Lane_0-Waypoint_32,1706,0,-1551.355,1.645,-1186.112,8608,Road_1706-Lane_0-Waypoint_34,1706,0,-1554.926,1.310,-1189.076,,,,0.00,1,gley,bridge_cross_179_183
141,base,base,140,Road_138-Lane_2-Waypoint_16,138,2,-1625.979,0.200,-1354.326,12424,Road_138-Lane_2-Waypoint_18,138,2,-1620.991,0.200,-1354.357,,,,0.00,1,gley,
142,base,base,141,Road_235-Lane_0-Waypoint_49,235,0,-2768.011,0.000,-945.118,7627,Road_235-Lane_0-Waypoint_51,235,0,-2772.521,0.000,-946.654,,,,0.00,1,gley,
143,base,base,142,Road_209-Lane_0-Waypoint_124,209,0,-2636.663,-0.008,-1373.965,5240,Road_209-Lane_0-Waypoint_122,209,0,-2642.837,-0.008,-1373.785,,,,0.00,1,gley,
144,base,base,143,Road_228-Lane_0-CConnect6,228,0,-3166.447,-0.209,-1128.321,17662,Road_228-Lane_0-Connector2,228,0,-3165.639,-0.209,-1132.773,,,,0.00,1,gley,
145,base,base,144,Road_225-Lane_1-Waypoint_2,225,1,-2965.359,-0.191,-1080.418,7001,Road_225-Lane_1-Waypoint_4,225,1,-2971.711,-0.191,-1081.649,,,,0.00,1,gley,
146,base,base,145,Road_99-Lane_2-In,99,2,-140.603,0.000,-204.580,10991,Road_99-Lane_2-Waypoint_22,99,2,-143.113,0.000,-204.578,,,,0.00,0,gley,
147,base,base,146,Road_1700-Lane_1-Waypoint_20,1700,1,-1676.777,0.200,-1253.770,1037,Road_1700-Lane_1-Waypoint_22,1700,1,-1676.777,0.200,-1249.554,,,,0.00,0,gley,bridge_deck
148,base,base,147,Road_237-Lane_2-Waypoint_55,237,2,-2001.502,0.300,-928.683,6160,Road_237-Lane_2-Waypoint_53,237,2,-1997.495,0.300,-932.751,,,,0.00,0,gley,
