roadId,streetKey,streetName,confidence,method,axis,centroidX,centroidZ,pointCount,spanX,spanZ
31,ba:street_fourthavenue,4th Avenue,1.000,intersection+label,eastwest,91.264,-23.402,83,108.688,27.804
32,ba:street_fifthavenue,5th Avenue,1.000,intersection+label,eastwest,91.174,-210.643,83,108.635,27.550
33,ba:street_sixthavenue,6th Avenue,1.000,intersection+label,eastwest,73.947,-357.207,84,88.168,23.238
34,ba:street_sixthavenue,6th Avenue,1.000,intersection+label,eastwest,107.338,-379.990,76,82.927,11.959
35,ba:street_firstavenue,1st Avenue,1.000,intersection+label,eastwest,-82.269,464.143,80,106.340,21.440
36,ba:street_firststreet,1st Street,0.943,intersection+label,northsouth,397.037,198.337,43,13.959,104.089
37,ba:street_broadwaystreet,Broadway,0.815,intersection+label,eastwest,357.113,226.475,44,100.011,55.036
38,ba:street_thirdavenue,3rd Avenue,0.756,intersection,eastwest,253.385,182.286,59,106.894,60.406
39,ba:street_secondstreet,2nd Street,0.873,intersection,northsouth,309.735,184.201,35,18.803,68.860
40,ba:street_secondstreet,2nd Street,0.949,intersection+label,northsouth,310.387,261.326,57,22.067,135.500
41,ba:street_firststreet,1st Street,1.000,intersection+label,northsouth,397.273,276.565,39,15.877,99.111
42,ba:street_firststreet,1st Street,1.000,intersection+label,northsouth,396.659,385.610,76,14.982,173.768
43,ba:street_secondstreet,2nd Street,1.000,intersection+label,northsouth,310.233,378.211,62,18.151,164.614
44,ba:street_thirdstreet,3rd Street,1.000,intersection+label,northsouth,223.484,394.524,55,18.868,139.967
45,ba:street_fourthstreet,4th Street,1.000,intersection+label,northsouth,136.069,413.051,42,15.548,101.512
46,ba:street_secondavenue,2nd Avenue,1.000,label,northsouth,136.355,286.362,35,19.660,86.653
47,ba:street_secondavenue,2nd Avenue,1.000,intersection+label,eastwest,158.245,320.788,24,74.253,39.379
48,ba:street_secondavenue,2nd Avenue,1.000,intersection+label,eastwest,193.455,306.157,18,83.869,0.691
49,ba:street_secondavenue,2nd Avenue,1.000,intersection+label,eastwest,247.938,323.215,23,83.568,11.938
50,ba:street_secondavenue,2nd Avenue,1.000,intersection+label,eastwest,290.347,305.992,28,83.504,10.803
51,ba:street_secondavenue,2nd Avenue,0.832,intersection+label,eastwest,366.709,308.703,37,77.577,32.762
52,ba:street_secondavenue,2nd Avenue,1.000,intersection+label,eastwest,338.054,321.701,41,83.820,8.590
53,ba:street_firstavenue,1st Avenue,1.000,intersection+label,eastwest,181.295,464.132,80,107.597,21.631
54,ba:street_firstavenue,1st Avenue,1.000,intersection+label,eastwest,268.641,464.148,80,107.497,21.388
55,ba:street_firstavenue,1st Avenue,1.000,intersection+label,eastwest,-169.654,464.118,80,106.108,21.372
56,ba:street_firstavenue,1st Avenue,1.000,intersection+label,eastwest,92.603,464.126,80,108.213,21.982
57,ba:street_fifthstreet,5th Street,0.935,intersection+label,northsouth,49.015,136.937,40,19.427,87.591
58,ba:street_fifthstreet,5th Street,1.000,intersection+label,northsouth,47.710,30.150,62,15.754,154.422
59,ba:street_firstavenue,1st Avenue,1.000,intersection+label,eastwest,-252.889,462.936,74,97.866,23.237
60,ba:street_secondavenue,2nd Avenue,1.000,intersection+label,eastwest,-100.524,321.690,42,83.380,15.482
61,ba:street_secondavenue,2nd Avenue,1.000,intersection+label,eastwest,-70.152,308.477,37,77.030,32.920
62,ba:street_secondavenue,2nd Avenue,1.000,intersection+label,eastwest,-183.383,321.532,36,83.293,15.894
63,ba:street_secondavenue,2nd Avenue,1.000,intersection+label,eastwest,-153.303,307.053,42,83.658,12.991
64,ba:street_secondavenue,2nd Avenue,1.000,intersection+label,eastwest,-268.102,320.000,17,72.262,10.425
65,ba:street_secondavenue,2nd Avenue,1.000,intersection+label,eastwest,-243.091,307.549,38,83.469,4.077
66,ba:street_ninthstreet,9th Street,1.000,intersection+label,northsouth,-300.022,379.855,66,14.181,156.598
67,ba:street_eighthstreet,8th Street,1.000,intersection+label,northsouth,-213.069,393.914,57,25.377,143.135
68,ba:street_seventhstreet,7th Street,1.000,intersection+label,northsouth,-126.621,377.604,70,21.201,165.453
69,ba:street_sixthstreet,6th Street,1.000,intersection+label,northsouth,-38.178,415.532,39,9.456,100.670
70,ba:street_secondavenue,2nd Avenue,1.000,label,northsouth,-39.855,339.048,40,19.608,86.079
71,ba:street_secondavenue,2nd Avenue,1.000,label,northsouth,-38.210,286.943,28,4.157,87.075
72,ba:street_sixthstreet,6th Street,1.000,intersection+label,northsouth,-39.396,204.973,52,20.783,116.176
73,ba:street_seventhstreet,7th Street,1.000,intersection+label,northsouth,-125.370,245.827,71,13.351,185.364
74,ba:street_seventhstreet,7th Street,1.000,intersection+label,northsouth,-124.996,111.479,56,10.070,141.210
75,ba:street_thirdavenue,3rd Avenue,1.000,intersection+label,eastwest,-79.923,162.736,77,98.055,28.157
76,ba:street_thirdavenue,3rd Avenue,1.000,intersection+label,eastwest,3.636,163.674,83,107.166,26.861
77,ba:street_fifthstreet,5th Street,1.000,intersection+label,northsouth,47.377,202.609,52,19.557,113.068
78,ba:street_secondavenue,2nd Avenue,1.000,intersection+label,eastwest,6.115,256.427,44,99.637,22.057
79,ba:street_secondavenue,2nd Avenue,1.000,intersection+label,eastwest,93.394,257.325,41,101.612,23.314
80,ba:street_secondavenue,2nd Avenue,1.000,intersection+label,eastwest,46.861,373.334,77,178.490,22.569
81,ba:street_fourthavenue,4th Avenue,1.000,intersection+label,eastwest,3.716,-23.466,83,107.561,27.018
82,ba:street_secondavenue,2nd Avenue,1.000,label,northsouth,135.785,340.859,28,3.869,87.286
83,ba:street_fourthstreet,4th Street,1.000,intersection+label,northsouth,134.796,202.116,49,15.871,116.343
84,ba:street_sixthstreet,6th Street,0.739,intersection+label,northsouth,-37.557,138.721,35,10.058,84.043
85,ba:street_thirdandahalfavenue,3½ Avenue,0.633,intersection+label,eastwest,5.787,103.075,41,91.021,15.159
86,ba:street_sixthstreet,6th Street,0.940,intersection+label,northsouth,-39.135,70.061,39,21.400,89.136
87,ba:street_broadwaystreet,Broadway,1.000,label,northsouth,-53.801,30.998,25,41.757,44.963
88,ba:street_sixthstreet,6th Street,0.930,intersection,northsouth,-39.949,2.408,40,15.910,98.719
89,ba:street_fourthavenue,4th Avenue,0.780,intersection,eastwest,-49.790,-25.928,32,34.927,20.667
90,ba:street_fourthavenue,4th Avenue,1.000,intersection,eastwest,-127.217,-23.918,198,101.189,101.170
91,ba:street_sixthavenue,6th Avenue,1.000,intersection+label,eastwest,-13.058,-357.217,80,86.351,22.112
92,ba:street_sixthavenue,6th Avenue,1.000,intersection+label,eastwest,21.227,-379.978,76,85.625,12.094
93,ba:street_sixthavenue,6th Avenue,1.000,intersection+label,eastwest,-66.024,-380.071,76,85.475,11.798
94,ba:street_sixthavenue,6th Avenue,1.000,intersection+label,eastwest,-100.233,-357.306,80,86.012,21.814
95,ba:street_sixthavenue,6th Avenue,1.000,intersection+label,eastwest,-153.210,-380.008,76,85.325,11.701
96,ba:street_sixthavenue,6th Avenue,1.000,intersection+label,eastwest,-187.705,-357.216,80,86.148,21.345
97,ba:street_eighthstreet,8th Street,1.000,intersection+label,northsouth,-213.724,-301.940,99,25.195,185.243
98,ba:street_eighthstreet,8th Street,0.849,intersection+label,northsouth,-214.788,-155.717,64,25.163,132.933
99,ba:street_fifthavenue,5th Avenue,1.000,intersection+label,eastwest,-169.356,-210.697,83,106.587,25.999
100,ba:street_fifthavenue,5th Avenue,1.000,intersection+label,eastwest,-82.262,-210.465,84,105.963,32.601
101,ba:street_fifthavenue,5th Avenue,1.000,intersection+label,eastwest,4.890,-210.410,84,106.384,32.945
102,ba:street_seventhstreet,7th Street,1.000,intersection+label,northsouth,-126.230,-301.582,101,26.384,184.372
103,ba:street_sixthstreet,6th Street,1.000,intersection+label,northsouth,-38.429,-275.170,70,25.506,161.791
104,ba:street_fifthstreet,5th Street,1.000,intersection+label,northsouth,48.422,-302.152,99,25.152,184.013
105,ba:street_seventhstreet,7th Street,1.000,intersection+label,northsouth,-126.832,-159.625,60,15.315,140.827
106,ba:street_sixthstreet,6th Street,1.000,intersection+label,northsouth,-38.370,-108.524,104,24.731,220.955
107,ba:street_fifthstreet,5th Street,1.000,intersection+label,northsouth,48.608,-116.584,95,24.659,220.866
108,ba:street_broadwaystreet,Broadway,1.000,intersection+label,eastwest,-200.511,-83.814,54,62.427,49.025
109,ba:street_sixthavenue,6th Avenue,1.000,intersection+label,eastwest,-273.300,-357.028,80,82.650,23.286
110,ba:street_sixthavenue,6th Avenue,1.000,intersection+label,eastwest,-242.011,-380.097,80,87.786,12.131
111,ba:street_sixthavenue,6th Avenue,1.000,intersection+label,eastwest,-331.429,-380.165,76,82.864,12.148
112,ba:street_sixthavenue,6th Avenue,1.000,intersection+label,eastwest,-359.217,-357.759,76,83.009,12.035
113,ba:street_sixthavenue,6th Avenue,1.000,intersection+label,eastwest,-447.663,-357.218,80,83.237,23.107
114,ba:street_sixthavenue,6th Avenue,1.000,intersection+label,eastwest,-418.681,-380.120,76,82.817,12.107
115,ba:street_sixthavenue,6th Avenue,1.000,intersection+label,eastwest,-528.033,-358.392,63,78.476,35.540
116,ba:street_sixthavenue,6th Avenue,1.000,intersection+label,eastwest,-504.454,-380.044,76,84.373,12.070
117,ba:street_fifthavenue,5th Avenue,1.000,intersection+label,eastwest,-250.478,-211.547,82,98.999,30.095
118,ba:street_fifthavenue,5th Avenue,1.000,intersection+label,eastwest,-440.604,-209.042,71,100.998,19.015
119,ba:street_fifthavenue,5th Avenue,1.000,intersection+label,eastwest,-515.143,-211.623,76,98.574,28.545
120,ba:street_fourthavenue,4th Avenue,1.000,intersection+label,eastwest,-513.425,-24.657,73,98.756,22.941
121,ba:street_fourthavenue,4th Avenue,1.000,intersection+label,eastwest,-431.013,-23.892,80,109.043,23.313
122,ba:street_fourthavenue,4th Avenue,1.000,intersection+label,eastwest,-343.754,-23.962,80,109.293,22.813
123,ba:street_fourthavenue,4th Avenue,1.000,intersection+label,eastwest,-248.174,-22.793,92,122.949,12.286
124,ba:street_broadwaystreet,Broadway,1.000,intersection+label,eastwest,-270.132,-140.066,115,122.376,82.946
125,ba:street_broadwaystreet,Broadway,1.000,label,eastwest,-365.073,-189.263,51,70.892,44.913
126,ba:street_ninthstreet,9th Street,1.000,intersection+label,northsouth,-301.127,-304.806,95,25.591,180.804
127,ba:street_ninthstreet,9th Street,0.964,intersection,northsouth,-299.406,-178.373,55,45.793,91.542
128,ba:street_ninthstreet,9th Street,1.000,intersection+label,northsouth,-302.752,-96.412,63,33.266,153.342
129,ba:street_eleventhstreet,11th Street,1.000,intersection+label,northsouth,-475.434,-302.432,97,24.257,181.688
130,ba:street_twelfthstreet,12th Street,1.000,intersection+label,northsouth,-561.165,-316.757,93,14.173,173.201
131,ba:street_eleventhstreet,11th Street,1.000,intersection+label,northsouth,-475.543,-123.714,85,19.692,202.536
132,ba:street_twelfthstreet,12th Street,1.000,intersection+label,northsouth,-561.905,-119.873,75,9.454,198.074
133,ba:street_broadwaystreet,Broadway,1.000,intersection+label,eastwest,-325.604,-158.034,20,19.273,18.845
134,ba:street_tenthstreet,10th Street,1.000,intersection+label,northsouth,-388.189,-108.764,73,18.521,182.858
135,ba:street_ninthavenue,9th Avenue,1.000,intersection+label,eastwest,-1469.067,-1332.894,57,86.898,27.136
136,ba:street_ninthavenue,9th Avenue,1.000,intersection+label,eastwest,-1568.547,-1331.504,71,97.660,36.252
137,ba:street_ninthavenue,9th Avenue,1.000,intersection+label,eastwest,-1657.670,-1331.633,58,72.108,36.397
138,ba:street_ninthavenue,9th Avenue,1.000,intersection+label,eastwest,-1620.613,-1358.821,58,87.708,27.078
139,ba:street_ninthavenue,9th Avenue,1.000,intersection+label,eastwest,-1529.906,-1359.079,57,85.421,26.997
140,ba:street_ninthavenue,9th Avenue,1.000,intersection+label,eastwest,-1437.413,-1355.935,63,77.325,59.839
141,ba:street_ninthavenue,9th Avenue,1.000,intersection+label,eastwest,-1737.592,-1332.863,54,85.043,25.669
142,ba:street_ninthavenue,9th Avenue,1.000,intersection+label,eastwest,-1831.081,-1336.098,63,79.697,55.315
143,ba:street_ninthavenue,9th Avenue,1.000,intersection+label,eastwest,-1798.169,-1359.808,62,90.005,40.070
144,ba:street_ninthavenue,9th Avenue,1.000,intersection+label,eastwest,-1712.245,-1359.005,54,85.218,25.505
145,,,0.000,none,northsouth,-1838.727,-1444.326,93,102.441,195.739
146,ba:street_twentyfifthstreet,25th Street,1.000,intersection+label,northsouth,-1769.823,-1460.421,34,26.139,132.325
147,ba:street_tenthavenue,10th Avenue,1.000,label,eastwest,-1720.748,-1510.243,84,110.978,22.666
148,ba:street_ninthavenue,9th Avenue,1.000,label,northsouth,-1680.316,-1374.957,71,21.497,179.478
149,ba:street_tenthavenue,10th Avenue,1.000,label,eastwest,-1633.123,-1509.471,90,112.988,23.319
150,ba:street_tenthavenue,10th Avenue,1.000,label,eastwest,-1545.775,-1509.439,84,114.239,22.667
151,ba:street_tenthavenue,10th Avenue,1.000,intersection+label,eastwest,-1460.429,-1508.552,70,105.598,19.524
152,ba:street_twentythirdstreet,23rd Street,1.000,intersection+label,northsouth,-1590.286,-1382.080,58,25.452,174.072
153,ba:street_twentyfirststreet,21st Street,1.000,intersection+label,northsouth,-1410.522,-1423.372,69,17.463,190.955
154,ba:street_twentyfirststreet,21st Street,1.000,intersection+label,northsouth,-1410.788,-1259.126,91,14.424,239.919
155,ba:street_twentyfirststreet,21st Street,1.000,intersection+label,northsouth,-1410.665,-1054.529,79,16.219,202.878
156,ba:street_seventhavenue,7th Avenue,1.000,intersection+label,eastwest,-1456.191,-969.948,53,72.090,18.958
157,ba:street_seventhavenue,7th Avenue,1.000,intersection+label,eastwest,-1555.905,-968.790,66,88.020,16.284
158,ba:street_twentyfirststreet,21st Street,1.000,intersection,northsouth,-1588.923,-1037.976,38,14.628,158.906
159,ba:street_twentyfourthstreet,24th Street,1.000,intersection+label,northsouth,-1679.678,-1049.540,33,11.044,157.313
160,ba:street_twentyfifthstreet,25th Street,1.000,intersection+label,northsouth,-1769.599,-1100.488,52,27.153,172.291
161,ba:street_twentyfifthstreet,25th Street,1.000,intersection+label,northsouth,-1770.032,-1294.116,63,24.229,213.150
162,ba:street_twentysixthstreet,26th Street,1.000,intersection+label,northsouth,-1859.965,-1062.370,73,13.459,190.216
163,ba:street_twentysixthstreet,26th Street,1.000,label,northsouth,-1860.058,-1245.353,89,14.118,240.868
164,ba:street_seventhavenue,7th Avenue,1.000,intersection+label,eastwest,-1635.793,-969.872,80,115.134,16.220
165,ba:street_seventhavenue,7th Avenue,1.000,intersection+label,eastwest,-1725.381,-970.139,80,115.326,15.900
166,ba:street_seventhavenue,7th Avenue,1.000,intersection+label,eastwest,-1805.755,-972.031,74,103.992,22.230
167,ba:street_eighthavenue,8th Avenue,1.000,intersection+label,eastwest,-1809.513,-1151.217,79,104.914,27.680
168,ba:street_eighthavenue,8th Avenue,1.000,intersection+label,eastwest,-1723.996,-1149.807,80,113.707,16.048
169,ba:street_eighthavenue,8th Avenue,1.000,intersection+label,eastwest,-1641.403,-1147.817,76,102.635,23.208
170,ba:street_twentyfourthstreet,24th Street,1.000,intersection+label,northsouth,-1680.351,-1218.564,74,22.045,177.630
171,ba:street_twentythirdstreet,23rd Street,1.000,intersection,northsouth,-1581.966,-1261.997,21,19.137,91.744
172,ba:street_eighthavenue,8th Avenue,1.000,label,northsouth,-1593.932,-1166.660,25,15.362,83.036
173,ba:street_eighthavenue,8th Avenue,1.000,intersection,eastwest,-1640.353,-1236.279,21,71.909,42.018
174,ba:street_twentythirdstreet,23rd Street,1.000,intersection,northsouth,-1604.970,-1259.074,42,54.126,104.084
175,ba:street_ninthavenue,9th Avenue,1.000,intersection,eastwest,-1647.377,-1266.776,14,55.642,28.567
176,ba:street_eighthavenue,8th Avenue,1.000,intersection,eastwest,-1517.422,-1180.493,24,90.214,74.166
177,ba:street_eighthavenue,8th Avenue,1.000,intersection,eastwest,-1521.361,-1175.799,24,88.517,73.472
178,ba:street_eighthavenue,8th Avenue,1.000,intersection,eastwest,-1554.788,-1197.796,36,131.143,107.014
179,ba:street_eighthavenue,8th Avenue,1.000,intersection,eastwest,-1544.425,-1180.359,28,104.948,87.043
180,ba:street_seventhavenue,7th Avenue,1.000,intersection,eastwest,-1374.319,-1039.342,58,230.319,190.130
181,,,0.000,none,eastwest,-1080.989,-797.224,86,345.068,285.511
182,,,0.000,none,eastwest,-751.541,-524.580,79,313.654,258.963
183,ba:street_eleventhstreet,11th Street,1.000,label,eastwest,-464.676,-287.462,66,262.994,217.064
184,ba:street_eleventhstreet,11th Street,1.000,label,eastwest,-462.333,-293.971,67,263.988,217.983
185,,,0.000,none,eastwest,-748.898,-530.549,79,312.794,259.343
186,,,0.000,none,eastwest,-1078.962,-804.222,85,344.056,284.305
187,ba:street_seventhavenue,7th Avenue,1.000,intersection,eastwest,-1369.345,-1044.274,58,231.441,191.383
188,ba:street_seventhavenue,7th Avenue,1.000,intersection,eastwest,-1360.050,-1042.266,59,231.429,191.933
189,ba:street_seventhavenue,7th Avenue,1.000,intersection,eastwest,-1356.459,-1047.533,58,229.488,189.400
190,,,0.000,none,eastwest,-1071.178,-802.884,86,344.316,285.254
191,,,0.000,none,eastwest,-1066.360,-807.552,86,346.236,287.894
192,,,0.000,none,eastwest,-740.282,-529.035,79,313.194,258.457
193,,,0.000,none,eastwest,-735.538,-533.910,78,313.194,257.468
194,ba:street_fifthavenue,5th Avenue,1.000,intersection,eastwest,-407.406,-254.595,94,305.984,267.109
195,ba:street_fifthavenue,5th Avenue,1.000,intersection,eastwest,-416.671,-270.704,83,301.023,247.408
196,,,0.000,none,eastwest,-1611.897,-1250.658,28,90.947,73.610
197,ba:street_ninthavenue,9th Avenue,1.000,intersection+label,eastwest,-1667.980,-1346.107,324,848.381,16.247
